2000-01-03,3.550966589244238,3.808960157227086,3.4429614078970876,3.79,4535174,3.79
2000-01-04,3.664658536585366,3.7448917073170733,3.425651707317073,3.47,4336464,3.47
2000-01-05,3.5115384615384615,3.742030769230769,3.486153846153846,3.52,6585798,3.52
2000-01-06,3.586076842105263,3.615473684210526,3.21,3.21,6487349,3.21
2000-01-07,3.268391959798995,3.4208040201005026,3.234522613065327,3.37,3901193,3.37
2000-01-10,3.4539130434782606,3.4623785166240406,3.2084143222506394,3.31,4275605,3.31
2000-01-11,3.2479956873315365,3.3644549865229108,3.0638274932614555,3.14,3737097,3.14
2000-01-12,3.2142447528386286,3.231161830485148,2.926654432847804,2.95,8256115,2.95
2000-01-13,3.193277519379845,3.337596899224806,3.126356589147287,3.27,8725786,3.27
2000-01-14,3.38510553564317,3.4612704101951413,3.364117881322182,3.4,3303659,3.40
2000-01-18,3.4204348662690016,3.5897633249951895,3.4014700788916685,3.52,3887591,3.52
2000-01-19,3.568243243243243,3.6739864864864864,3.4922297297297296,3.6,5047662,3.60
2000-01-20,3.9076651982378854,4.110660792951542,3.84,3.84,15487995,3.84
2000-01-21,3.85931183182104,3.85931183182104,3.7221669212110315,3.76,4188027,3.76
2000-01-24,3.6639962352941176,3.809623529411765,3.551819294117647,3.59,3724112,3.59
2000-01-25,3.55456570155902,3.8297906458797324,3.465870824053452,3.8,4207468,3.80
2000-01-26,3.723568381885834,3.8654024866140304,3.7151057264724567,3.73,3107135,3.73
2000-01-27,3.679756363636364,3.8214545454545457,3.6185454545454547,3.72,2875762,3.72
2000-01-28,3.662405038378272,3.7531273371383587,3.4061483959850425,3.44,3582758,3.44
2000-01-31,3.4169638554216863,3.514059759036144,3.197060240963855,3.51,5934691,3.51
2000-02-01,3.5168079800498755,3.5506234413965085,3.3815461346633415,3.39,2688626,3.39
2000-02-02,3.4055763586681507,3.4518854366966907,3.2788179334075496,3.34,3922710,3.34
2000-02-03,3.3886545348949766,3.5217549123995746,3.386627625592876,3.49,4013226,3.49
2000-02-04,3.512787037037037,3.7175925925925926,3.5019722222222223,3.65,3593560,3.65
2000-02-07,3.6549184639663332,3.86642994914957,3.5852042784499383,3.86,3731631,3.86
2000-02-08,3.8602019498607247,3.931988161559889,3.767083043175488,3.89,3459309,3.89
2000-02-09,3.8607458710708578,3.962575919019712,3.803910495471497,3.81,2531921,3.81
2000-02-10,3.819023788546255,3.852518061674009,3.7215859030837004,3.84,2562670,3.84
2000-02-11,3.8451347126436786,3.861715862068966,3.663080459770115,3.68,1795596,3.68
2000-02-14,3.699984457300751,3.9220309127018393,3.6766289612296004,3.92,3110166,3.92
2000-02-15,3.893319327731092,4.051754621848739,3.891292436974789,4.02,4102291,4.02
2000-02-16,3.982781282860147,3.995296179460217,3.792351910269891,3.86,3198455,3.86
2000-02-17,3.9004970403899724,3.9109940807799446,3.830742513927577,3.89,2450700,3.89
2000-02-18,3.873898426966292,3.8995847191011235,3.7471568539325846,3.76,1972450,3.76
2000-02-22,3.7255118179421842,3.955882611369827,3.6091424303664,3.85,3571390,3.85
2000-02-23,3.8279045161290326,4.022967741935484,3.752516129032258,3.93,3998451,3.93
2000-02-24,3.9714322916666664,4.032708333333333,3.783203125,3.9,3185947,3.90
2000-02-25,3.880051644468605,3.9540636042402824,3.7218891002989936,3.73,2104981,3.73
2000-02-28,3.7244847682119206,3.889183222958058,3.6653015452538633,3.8300000000000005,2775929,3.83
2000-02-29,3.8441179549816784,3.9690280928284762,3.8102669691153372,3.88,3122428,3.88
2000-03-01,4.012352083493209,4.4692241577776075,4.010321540940834,4.41,9112086,4.41
2000-03-02,4.2992622950819674,4.331083606557377,4.0856532786885245,4.13,2634222,4.13
2000-03-03,4.22411796875,4.33778046875,4.059375,4.33,2734719,4.33
2000-03-06,4.260482138594956,4.366317925053703,4.226668788288647,4.25,1779934,4.25
2000-03-07,4.280869211361601,4.31472613331163,4.10075038658745,4.16,2310829,4.16
2000-03-08,4.159451639344263,4.195673770491803,4.013547540983606,4.13,2295454,4.13
2000-03-09,4.083379141104294,4.222903885480572,3.9948670756646214,4.13,2337110,4.13
2000-03-10,4.112783300198807,4.324015904572565,4.0894632206759445,4.25,2100551,4.25
2000-03-13,4.127714120847416,4.275410106339131,4.038826147885582,4.1,2568260,4.10
2000-03-14,4.09548533916849,4.197855579868709,3.851553610503282,3.86,3619946,3.86
2000-03-15,3.9087019354838715,4.065225806451613,3.8579922580645167,3.93,3749216,3.93
2000-03-16,3.9663055281342547,4.124876604146101,3.8712981243830207,4.11,3195940,4.11
2000-03-17,4.0651992,4.23,4.047940800000001,4.23,2580665,4.23
2000-03-20,4.176910569105692,4.269918699186992,4.139030894308943,4.16,1729017,4.16
2000-03-21,4.141645175633615,4.621164962205424,4.109879946642952,4.56,4429627,4.56
2000-03-22,4.493837298009571,4.886430404327623,4.452547333379568,4.88,4805854,4.88
2000-03-23,4.803340174085345,5.086804897034888,4.7356874955771,4.78,4757376,4.78
2000-03-24,4.816811594202899,4.867536231884058,4.582125603864735,4.69,3778255,4.69
2000-03-27,4.654726282602464,4.895528804815132,4.629022642591,4.72,2360527,4.72
2000-03-28,4.646689907993099,4.807504312823461,4.642288671650373,4.71,1717890,4.71
2000-03-29,4.716404296012946,4.718434603501545,4.5286008533176405,4.6,2028926,4.60
2000-03-30,4.513956262425447,4.653538767395626,4.239522862823061,4.25,3501391,4.25
2000-03-31,4.307117296222664,4.638667992047713,4.25844930417495,4.59,3418872,4.59
